num_shots,invalid_fn_type,test_passing_completion,test_passing_explanation,n_examples
4,exclude_class,0.9350104821802935,0.4716981132075472,477
4,random,0.9348739495798319,0.3949579831932773,476
4,same_class,0.9514767932489452,0.32489451476793246,474
6,exclude_class,0.9327731092436975,0.4432773109243697,476
6,random,0.9180672268907563,0.42436974789915966,476
6,same_class,0.9453781512605042,0.3130252100840336,476
8,exclude_class,0.9308176100628931,0.48218029350104824,477
8,random,0.9308176100628931,0.44863731656184486,477
8,same_class,0.9350104821802935,0.3060796645702306,477
10,exclude_class,0.9224318658280922,0.48218029350104824,477
10,random,0.9433962264150944,0.48218029350104824,477
10,same_class,0.9559748427672956,0.3312368972746331,477
